Gender,Married,Education,TotalIncome,LoanAmount,CreditHistory,LoanStatus
Male,Yes,Graduate,6091.0,128.0,1.0,N
Male,Yes,Graduate,3000.0,66.0,1.0,Y
Male,Yes,Not Graduate,4941.0,120.0,1.0,Y
Male,No,Graduate,6000.0,141.0,1.0,Y
Male,Yes,Graduate,9613.0,267.0,1.0,Y
Male,Yes,Not Graduate,3849.0,95.0,1.0,Y
Male,Yes,Graduate,5540.0,158.0,0.0,N
Male,Yes,Graduate,5532.0,168.0,1.0,Y
Male,Yes,Graduate,23809.0,349.0,1.0,N
Male,Yes,Graduate,3900.0,70.0,1.0,Y
Male,Yes,Graduate,11179.0,200.0,1.0,Y
Male,No,Graduate,4693.0,114.0,1.0,N
Male,Yes,Graduate,2385.0,17.0,1.0,Y
Male,No,Graduate,4950.0,125.0,1.0,Y
Female,No,Graduate,3510.0,76.0,0.0,N
Male,Yes,Not Graduate,4887.0,133.0,1.0,N
Male,Yes,Not Graduate,7660.0,104.0,0.0,N
Male,Yes,Graduate,11580.0,315.0,1.0,Y
Male,Yes,Not Graduate,4511.0,116.0,0.0,N
Male,Yes,Graduate,9560.0,191.0,1.0,Y
Male,Yes,Graduate,5052.0,122.0,1.0,Y
Male,Yes,Not Graduate,5266.0,110.0,1.0,Y
Male,No,Not Graduate,1442.0,35.0,1.0,N
Male,No,Graduate,3167.0,74.0,1.0,N
Male,No,Graduate,4692.0,106.0,1.0,N
Male,Yes,Graduate,5167.0,114.0,1.0,Y
Male,No,Graduate,15500.0,320.0,1.0,N
Female,Yes,Graduate,5126.0,144.0,1.0,Y
Male,No,Graduate,11376.0,184.0,1.0,Y
Male,No,Not Graduate,5416.0,110.0,1.0,Y
Male,No,Graduate,3600.0,80.0,1.0,N
Male,No,Graduate,3013.0,47.0,1.0,Y
Male,Yes,Graduate,6277.0,134.0,1.0,Y
Male,Yes,Graduate,5649.0,44.0,1.0,Y
Male,Yes,Graduate,5821.0,144.0,1.0,Y
Female,Yes,Graduate,6085.0,120.0,0.0,N
Female,No,Graduate,6275.0,144.0,1.0,Y
Female,Yes,Not Graduate,3572.0,100.0,1.0,Y
Female,No,Graduate,3086.0,120.0,1.0,Y
Female,No,Graduate,4230.0,112.0,1.0,N
Male,Yes,Graduate,4616.0,134.0,1.0,N
Female,Yes,Graduate,11500.0,286.0,0.0,N
Male,Yes,Graduate,3875.0,97.0,1.0,Y
Male,Yes,Graduate,3723.0,96.0,1.0,Y
Male,Yes,Graduate,5566.0,135.0,1.0,N
Male,Yes,Graduate,10330.0,180.0,1.0,Y
Male,Yes,Not Graduate,6216.0,144.0,1.0,Y
Male,Yes,Graduate,6296.0,120.0,1.0,Y
Male,Yes,Graduate,3029.0,99.0,1.0,Y
Male,Yes,Not Graduate,6058.0,165.0,0.0,N
Female,No,Graduate,4166.0,116.0,0.0,N
Male,Yes,Graduate,10321.0,258.0,1.0,N
Male,No,Not Graduate,5454.0,126.0,0.0,N
Male,Yes,Graduate,10750.0,312.0,1.0,Y
Male,Yes,Not Graduate,7100.0,125.0,1.0,Y
Female,No,Graduate,4300.0,136.0,0.0,N
Male,Yes,Graduate,6274.0,172.0,1.0,Y
Male,Yes,Not Graduate,3750.0,97.0,1.0,Y
Male,No,Graduate,3500.0,81.0,1.0,Y
Male,Yes,Graduate,7040.0,187.0,1.0,Y
Male,No,Graduate,3750.0,113.0,1.0,N
Male,No,Graduate,8500.0,176.0,1.0,N
Male,Yes,Graduate,4022.0,110.0,1.0,N
Male,Yes,Graduate,7167.0,180.0,0.0,N
Female,No,Graduate,3846.0,111.0,1.0,Y
Female,Yes,Graduate,3259.0,167.0,1.0,N
Male,Yes,Graduate,3988.0,50.0,1.0,Y
Male,No,Graduate,4897.0,136.0,1.0,Y
Male,Yes,Graduate,4618.0,104.0,1.0,Y
Male,No,Graduate,8566.0,210.0,1.0,Y
Male,Yes,Graduate,9862.0,175.0,1.0,Y
Male,Yes,Graduate,5858.0,131.0,1.0,Y
Male,Yes,Graduate,11904.0,188.0,1.0,Y
Male,Yes,Not Graduate,5093.0,81.0,1.0,Y
Male,No,Graduate,4133.0,122.0,1.0,Y
Male,No,Not Graduate,3620.0,25.0,1.0,Y
Female,Yes,Graduate,4786.0,137.0,1.0,Y
Male,Yes,Graduate,2974.0,50.0,1.0,Y
Male,Yes,Not Graduate,4188.0,115.0,1.0,Y
Male,Yes,Graduate,5300.0,131.0,1.0,Y
Male,Yes,Not Graduate,7551.0,133.0,1.0,Y
Male,No,Graduate,8649.0,151.0,1.0,Y
Male,Yes,Graduate,4082.0,100.0,1.0,Y
Male,Yes,Graduate,12543.0,225.0,1.0,Y
Male,Yes,Graduate,7400.0,216.0,0.0,N
Male,Yes,Not Graduate,2825.0,94.0,1.0,Y
Male,No,Graduate,5316.0,136.0,1.0,Y
Male,Yes,Graduate,14583.0,185.0,1.0,Y
Female,Yes,Graduate,5450.0,154.0,1.0,Y
